query_type,victim_model,method,method_key,source_file,metric,total_items,raw_n,valid_metric_n,no_response_nan_to_zero_n,response_nan_dropped_n,before_padding_n,padding_n,final_n,text_col
stem,gpt-5.1,PAP_Authority endorsement,pap_authority_endorsement,gpt-5.1/eval/stem/gpt-5.1/PAP_Authority endorsement.csv,score,156,156,156,0,0,156,0,156,response
stem,gpt-5.1,PAP_Authority endorsement,pap_authority_endorsement,gpt-5.1/eval/stem/gpt-5.1/PAP_Authority endorsement.csv,refusal,156,156,145,11,0,156,0,156,response
stem,gpt-5.1,SQL_responses,sql_responses,gpt-5.1/eval/stem/gpt-5.1/SQL_responses.csv,score,156,145,145,0,0,145,11,156,answer
stem,gpt-5.1,SQL_responses,sql_responses,gpt-5.1/eval/stem/gpt-5.1/SQL_responses.csv,refusal,156,145,144,1,0,145,11,156,answer
stem,gpt-5.1,PAP,pap,gpt-5.1/eval/stem/gpt-5.1/PAP.csv,score,156,156,156,0,0,156,0,156,response
stem,gpt-5.1,PAP,pap,gpt-5.1/eval/stem/gpt-5.1/PAP.csv,refusal,156,156,146,10,0,156,0,156,response
stem,gpt-5.1,Our_meli_query,our_meli_query,gpt-5.1/eval/stem/gpt-5.1/Our_meli_query.csv,score,156,156,148,8,0,156,0,156,answer
stem,gpt-5.1,Our_meli_query,our_meli_query,gpt-5.1/eval/stem/gpt-5.1/Our_meli_query.csv,refusal,156,156,148,8,0,156,0,156,answer
stem,gpt-5.1,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,gpt-5.1/eval/stem/gpt-5.1/PAP_Evidence-based Persuasion.csv,score,156,156,156,0,0,156,0,156,response
stem,gpt-5.1,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,gpt-5.1/eval/stem/gpt-5.1/PAP_Evidence-based Persuasion.csv,refusal,156,156,144,12,0,156,0,156,response
stem,gpt-5.1,Our_neutral_question,our_neutral_question,gpt-5.1/eval/stem/gpt-5.1/Our_neutral_question.csv,score,156,156,148,4,4,152,4,156,answer
stem,gpt-5.1,Our_neutral_question,our_neutral_question,gpt-5.1/eval/stem/gpt-5.1/Our_neutral_question.csv,refusal,156,156,148,4,4,152,4,156,answer
stem,gpt-5.1,PAP_Logical appeal,pap_logical_appeal,gpt-5.1/eval/stem/gpt-5.1/PAP_Logical appeal.csv,score,156,156,155,0,1,155,1,156,response
stem,gpt-5.1,PAP_Logical appeal,pap_logical_appeal,gpt-5.1/eval/stem/gpt-5.1/PAP_Logical appeal.csv,refusal,156,156,145,10,1,155,1,156,response
stem,gpt-5.1,cipher,cipher,gpt-5.1/eval/stem/gpt-5.1/cipher.csv,score,156,156,149,7,0,156,0,156,answer
stem,gpt-5.1,cipher,cipher,gpt-5.1/eval/stem/gpt-5.1/cipher.csv,refusal,156,156,149,7,0,156,0,156,answer
stem,gpt-5.1,Our_baseline,our_baseline,gpt-5.1/eval/stem/gpt-5.1/Our_baseline.csv,score,156,156,150,3,3,153,3,156,answer
stem,gpt-5.1,Our_baseline,our_baseline,gpt-5.1/eval/stem/gpt-5.1/Our_baseline.csv,refusal,156,156,150,3,3,153,3,156,answer
stem,gpt-5.1,PAP_Misrepresentation,pap_misrepresentation,gpt-5.1/eval/stem/gpt-5.1/PAP_Misrepresentation.csv,score,156,156,155,0,1,155,1,156,response
stem,gpt-5.1,PAP_Misrepresentation,pap_misrepresentation,gpt-5.1/eval/stem/gpt-5.1/PAP_Misrepresentation.csv,refusal,156,156,145,10,1,155,1,156,response
stem,gpt-5.1,Our_trap,our_trap,gpt-5.1/eval/stem/gpt-5.1/Our_trap.csv,score,156,156,154,0,2,154,2,156,answer
stem,gpt-5.1,Our_trap,our_trap,gpt-5.1/eval/stem/gpt-5.1/Our_trap.csv,refusal,156,156,149,5,2,154,2,156,answer
stem,gpt-5.1,flipattack,flipattack,gpt-5.1/eval/stem/gpt-5.1/flipattack.csv,score,156,156,150,5,1,155,1,156,answer
stem,gpt-5.1,flipattack,flipattack,gpt-5.1/eval/stem/gpt-5.1/flipattack.csv,refusal,156,156,150,5,1,155,1,156,answer
stem,gpt-5.1,PAP_Expert Endorsement,pap_expert_endorsement,gpt-5.1/eval/stem/gpt-5.1/PAP_Expert Endorsement.csv,score,156,156,155,0,1,155,1,156,response
stem,gpt-5.1,PAP_Expert Endorsement,pap_expert_endorsement,gpt-5.1/eval/stem/gpt-5.1/PAP_Expert Endorsement.csv,refusal,156,156,145,10,1,155,1,156,response
stem,gemini-2.5-flash,PAP_Authority endorsement,pap_authority_endorsement,gpt-5.1/eval/stem/gemini-2.5-flash/PAP_Authority endorsement.csv,score,156,156,156,0,0,156,0,156,response
stem,gemini-2.5-flash,PAP_Authority endorsement,pap_authority_endorsement,gpt-5.1/eval/stem/gemini-2.5-flash/PAP_Authority endorsement.csv,refusal,156,156,147,9,0,156,0,156,response
stem,gemini-2.5-flash,SQL_responses,sql_responses,gpt-5.1/eval/stem/gemini-2.5-flash/SQL_responses.csv,score,156,145,145,0,0,145,11,156,answer
stem,gemini-2.5-flash,SQL_responses,sql_responses,gpt-5.1/eval/stem/gemini-2.5-flash/SQL_responses.csv,refusal,156,145,145,0,0,145,11,156,answer
stem,gemini-2.5-flash,PAP,pap,gpt-5.1/eval/stem/gemini-2.5-flash/PAP.csv,score,156,156,156,0,0,156,0,156,response
stem,gemini-2.5-flash,PAP,pap,gpt-5.1/eval/stem/gemini-2.5-flash/PAP.csv,refusal,156,156,147,9,0,156,0,156,response
stem,gemini-2.5-flash,Our_meli_query,our_meli_query,gpt-5.1/eval/stem/gemini-2.5-flash/Our_meli_query.csv,score,156,156,151,0,5,151,5,156,answer
stem,gemini-2.5-flash,Our_meli_query,our_meli_query,gpt-5.1/eval/stem/gemini-2.5-flash/Our_meli_query.csv,refusal,156,156,151,0,5,151,5,156,answer
stem,gemini-2.5-flash,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,gpt-5.1/eval/stem/gemini-2.5-flash/PAP_Evidence-based Persuasion.csv,score,156,156,156,0,0,156,0,156,response
stem,gemini-2.5-flash,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,gpt-5.1/eval/stem/gemini-2.5-flash/PAP_Evidence-based Persuasion.csv,refusal,156,156,147,9,0,156,0,156,response
stem,gemini-2.5-flash,Our_neutral_question,our_neutral_question,gpt-5.1/eval/stem/gemini-2.5-flash/Our_neutral_question.csv,score,156,156,148,0,8,148,8,156,answer
stem,gemini-2.5-flash,Our_neutral_question,our_neutral_question,gpt-5.1/eval/stem/gemini-2.5-flash/Our_neutral_question.csv,refusal,156,156,148,0,8,148,8,156,answer
stem,gemini-2.5-flash,PAP_Logical appeal,pap_logical_appeal,gpt-5.1/eval/stem/gemini-2.5-flash/PAP_Logical appeal.csv,score,156,156,156,0,0,156,0,156,response
stem,gemini-2.5-flash,PAP_Logical appeal,pap_logical_appeal,gpt-5.1/eval/stem/gemini-2.5-flash/PAP_Logical appeal.csv,refusal,156,156,146,10,0,156,0,156,response
stem,gemini-2.5-flash,cipher,cipher,gpt-5.1/eval/stem/gemini-2.5-flash/cipher.csv,score,156,156,147,0,9,147,9,156,answer
