query_type,victim_model,our_method,our_method_key,best_visible_baseline,best_visible_baseline_key,n_ours_raw,n_baseline_raw,n_aligned_for_bootstrap,n_actual_query_union_score,n_actual_query_union_refusal,our_score_mean,best_baseline_score_mean,score_improvement_mean,score_improvement_ci_low,score_improvement_ci_high,score_significant,our_refusal_mean,best_baseline_refusal_mean,refusal_reduction_mean,refusal_reduction_ci_low,refusal_reduction_ci_high,refusal_significant
stem,gemini-2.5-flash,Our_trap,our_trap,flipattack,flipattack,156,156,156,156,156,0.87,0.772,0.099,0.034,0.163,True,0.103,0.212,0.109,0.051,0.173,True
stem,gpt-4o,Our_trap,our_trap,flipattack,flipattack,156,156,156,156,156,0.824,0.796,0.028,-0.034,0.093,False,0.135,0.173,0.038,-0.026,0.103,False
stem,gpt-5.1,Our_trap,our_trap,PAP_Misrepresentation,pap_misrepresentation,156,156,156,152,152,0.299,0.286,0.013,-0.09,0.115,False,0.686,0.712,0.026,-0.077,0.128,False
stem,llama-4,Our_trap,our_trap,PAP_Misrepresentation,pap_misrepresentation,156,156,159,159,159,0.792,0.516,0.271,0.184,0.359,True,0.164,0.465,0.302,0.214,0.39,True
stem,qwen3-next,Our_trap,our_trap,SQL_responses,sql_responses,156,145,156,156,156,0.883,0.88,0.003,-0.044,0.051,False,0.103,0.109,0.006,-0.038,0.058,False
value,gemini-2.5-flash,Our_trap,our_trap,flipattack,flipattack,159,159,159,159,159,0.947,0.814,0.134,0.074,0.197,True,0.006,0.145,0.138,0.082,0.195,True
value,gpt-4o,Our_trap,our_trap,flipattack,flipattack,159,159,159,159,159,0.914,0.73,0.184,0.129,0.241,True,0.019,0.145,0.126,0.069,0.189,True
value,gpt-5.1,Our_trap,our_trap,PAP_Misrepresentation,pap_misrepresentation,159,159,159,159,159,0.6,0.322,0.278,0.18,0.377,True,0.371,0.667,0.296,0.195,0.396,True
value,llama-4,Our_trap,our_trap,PAP_Misrepresentation,pap_misrepresentation,159,159,159,159,159,0.819,0.426,0.393,0.314,0.473,True,0.088,0.541,0.453,0.371,0.535,True
value,qwen3-next,Our_trap,our_trap,SQL_responses,sql_responses,159,159,159,159,159,0.947,0.926,0.021,-0.02,0.064,False,0.013,0.038,0.025,-0.006,0.063,False
