query_type,victim_model,method,method_key,metric,n_after_main_rule
stem,gemini-2.5-flash,cipher,cipher,refusal,156
stem,gemini-2.5-flash,cipher,cipher,score,156
stem,gemini-2.5-flash,flipattack,flipattack,refusal,156
stem,gemini-2.5-flash,flipattack,flipattack,score,156
stem,gemini-2.5-flash,Our_baseline,our_baseline,refusal,156
stem,gemini-2.5-flash,Our_baseline,our_baseline,score,156
stem,gemini-2.5-flash,Our_meli_query,our_meli_query,refusal,156
stem,gemini-2.5-flash,Our_meli_query,our_meli_query,score,156
stem,gemini-2.5-flash,Our_neutral_question,our_neutral_question,refusal,156
stem,gemini-2.5-flash,Our_neutral_question,our_neutral_question,score,156
stem,gemini-2.5-flash,Our_trap,our_trap,refusal,156
stem,gemini-2.5-flash,Our_trap,our_trap,score,156
stem,gemini-2.5-flash,PAP,pap,refusal,156
stem,gemini-2.5-flash,PAP,pap,score,156
stem,gemini-2.5-flash,PAP_Authority endorsement,pap_authority_endorsement,refusal,156
stem,gemini-2.5-flash,PAP_Authority endorsement,pap_authority_endorsement,score,156
stem,gemini-2.5-flash,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,156
stem,gemini-2.5-flash,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,156
stem,gemini-2.5-flash,PAP_Expert Endorsement,pap_expert_endorsement,refusal,156
stem,gemini-2.5-flash,PAP_Expert Endorsement,pap_expert_endorsement,score,156
stem,gemini-2.5-flash,PAP_Logical appeal,pap_logical_appeal,refusal,156
stem,gemini-2.5-flash,PAP_Logical appeal,pap_logical_appeal,score,156
stem,gemini-2.5-flash,PAP_Misrepresentation,pap_misrepresentation,refusal,156
stem,gemini-2.5-flash,PAP_Misrepresentation,pap_misrepresentation,score,156
stem,gemini-2.5-flash,SQL_responses,sql_responses,refusal,156
stem,gemini-2.5-flash,SQL_responses,sql_responses,score,156
stem,gpt-4o,cipher,cipher,refusal,156
stem,gpt-4o,cipher,cipher,score,156
stem,gpt-4o,flipattack,flipattack,refusal,156
stem,gpt-4o,flipattack,flipattack,score,156
stem,gpt-4o,Our_baseline,our_baseline,refusal,156
stem,gpt-4o,Our_baseline,our_baseline,score,156
stem,gpt-4o,Our_meli_query,our_meli_query,refusal,156
stem,gpt-4o,Our_meli_query,our_meli_query,score,156
stem,gpt-4o,Our_neutral_question,our_neutral_question,refusal,156
stem,gpt-4o,Our_neutral_question,our_neutral_question,score,156
stem,gpt-4o,Our_trap,our_trap,refusal,156
stem,gpt-4o,Our_trap,our_trap,score,156
stem,gpt-4o,PAP,pap,refusal,156
stem,gpt-4o,PAP,pap,score,156
stem,gpt-4o,PAP_Authority endorsement,pap_authority_endorsement,refusal,156
stem,gpt-4o,PAP_Authority endorsement,pap_authority_endorsement,score,156
stem,gpt-4o,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,156
stem,gpt-4o,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,156
stem,gpt-4o,PAP_Expert Endorsement,pap_expert_endorsement,refusal,156
stem,gpt-4o,PAP_Expert Endorsement,pap_expert_endorsement,score,156
stem,gpt-4o,PAP_Logical appeal,pap_logical_appeal,refusal,156
stem,gpt-4o,PAP_Logical appeal,pap_logical_appeal,score,156
stem,gpt-4o,PAP_Misrepresentation,pap_misrepresentation,refusal,156
stem,gpt-4o,PAP_Misrepresentation,pap_misrepresentation,score,156
stem,gpt-4o,SQL_responses,sql_responses,refusal,156
stem,gpt-4o,SQL_responses,sql_responses,score,156
stem,gpt-5.1,cipher,cipher,refusal,156
stem,gpt-5.1,cipher,cipher,score,156
stem,gpt-5.1,flipattack,flipattack,refusal,156
stem,gpt-5.1,flipattack,flipattack,score,156
stem,gpt-5.1,Our_baseline,our_baseline,refusal,156
stem,gpt-5.1,Our_baseline,our_baseline,score,156
stem,gpt-5.1,Our_meli_query,our_meli_query,refusal,156
stem,gpt-5.1,Our_meli_query,our_meli_query,score,156
stem,gpt-5.1,Our_neutral_question,our_neutral_question,refusal,156
stem,gpt-5.1,Our_neutral_question,our_neutral_question,score,156
stem,gpt-5.1,Our_trap,our_trap,refusal,156
stem,gpt-5.1,Our_trap,our_trap,score,156
stem,gpt-5.1,PAP,pap,refusal,156
stem,gpt-5.1,PAP,pap,score,156
stem,gpt-5.1,PAP_Authority endorsement,pap_authority_endorsement,refusal,156
stem,gpt-5.1,PAP_Authority endorsement,pap_authority_endorsement,score,156
stem,gpt-5.1,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,refusal,156
stem,gpt-5.1,PAP_Evidence-based Persuasion,pap_evidence_based_persuasion,score,156
stem,gpt-5.1,PAP_Expert Endorsement,pap_expert_endorsement,refusal,156
stem,gpt-5.1,PAP_Expert Endorsement,pap_expert_endorsement,score,156
stem,gpt-5.1,PAP_Logical appeal,pap_logical_appeal,refusal,156
stem,gpt-5.1,PAP_Logical appeal,pap_logical_appeal,score,156
stem,gpt-5.1,PAP_Misrepresentation,pap_misrepresentation,refusal,156
stem,gpt-5.1,PAP_Misrepresentation,pap_misrepresentation,score,156
stem,gpt-5.1,SQL_responses,sql_responses,refusal,156
stem,gpt-5.1,SQL_responses,sql_responses,score,156
stem,llama-4,flipattack,flipattack,refusal,156
