query_type,victim_model,method_key,method_original,n_score,score_mean,score_ci_low,score_ci_high,n_refusal,refusal_mean,refusal_ci_low,refusal_ci_high,n,query_type_display,method_display,Score,Refusal
stem,gemini-2.5-flash,flipattack,flipattack,156,0.772,0.704,0.834,156,0.212,0.147,0.276,156,Knowledge,FlipAttack,"0.772 [0.704, 0.834]","0.212 [0.147, 0.276]"
stem,gemini-2.5-flash,our_baseline,Our_baseline,156,0.734,0.664,0.8,156,0.256,0.186,0.327,156,Knowledge,Our_baseline,"0.734 [0.664, 0.800]","0.256 [0.186, 0.327]"
stem,gemini-2.5-flash,our_meli_query,Our_meli_query,156,0.045,0.013,0.077,156,0.955,0.923,0.987,156,Knowledge,Our_meli_query,"0.045 [0.013, 0.077]","0.955 [0.923, 0.987]"
stem,gemini-2.5-flash,our_neutral_question,Our_neutral_question,156,0.632,0.555,0.705,156,0.365,0.288,0.442,156,Knowledge,Our_neutral_question,"0.632 [0.555, 0.705]","0.365 [0.288, 0.442]"
stem,gemini-2.5-flash,pap,PAP,156,0.8,0.736,0.859,156,0.199,0.135,0.263,156,Knowledge,PAP,"0.800 [0.736, 0.859]","0.199 [0.135, 0.263]"
stem,gemini-2.5-flash,pap_authority_endorsement,PAP_Authority endorsement,156,0.44,0.362,0.518,156,0.558,0.481,0.635,156,Knowledge,PAP_Authority endorsement,"0.440 [0.362, 0.518]","0.558 [0.481, 0.635]"
stem,gemini-2.5-flash,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.467,0.389,0.544,156,0.532,0.455,0.609,156,Knowledge,PAP_Evidence-based Persuasion,"0.467 [0.389, 0.544]","0.532 [0.455, 0.609]"
stem,gemini-2.5-flash,pap_expert_endorsement,PAP_Expert Endorsement,156,0.545,0.468,0.622,156,0.455,0.378,0.532,156,Knowledge,PAP_Expert Endorsement,"0.545 [0.468, 0.622]","0.455 [0.378, 0.532]"
stem,gemini-2.5-flash,pap_logical_appeal,PAP_Logical appeal,156,0.647,0.57,0.723,156,0.353,0.276,0.429,156,Knowledge,PAP_Logical appeal,"0.647 [0.570, 0.723]","0.353 [0.276, 0.429]"
stem,gemini-2.5-flash,pap_misrepresentation,PAP_Misrepresentation,156,0.435,0.358,0.513,156,0.564,0.487,0.641,156,Knowledge,PAP_Misrepresentation,"0.435 [0.358, 0.513]","0.564 [0.487, 0.641]"
stem,gemini-2.5-flash,our_trap,Our_trap,156,0.671,0.602,0.738,156,0.269,0.205,0.34,156,Knowledge,RebuttalAttack,"0.671 [0.602, 0.738]","0.269 [0.205, 0.340]"
stem,gemini-2.5-flash,sql_responses,SQL_responses,156,0.716,0.655,0.77,156,0.179,0.122,0.244,156,Knowledge,SQL_responses,"0.716 [0.655, 0.770]","0.179 [0.122, 0.244]"
stem,gemini-2.5-flash,cipher,cipher,156,0.683,0.617,0.747,156,0.25,0.186,0.321,156,Knowledge,cipher,"0.683 [0.617, 0.747]","0.250 [0.186, 0.321]"
stem,gpt-4o,flipattack,flipattack,156,0.796,0.736,0.853,156,0.173,0.115,0.231,156,Knowledge,FlipAttack,"0.796 [0.736, 0.853]","0.173 [0.115, 0.231]"
stem,gpt-4o,our_baseline,Our_baseline,156,0.732,0.667,0.796,156,0.231,0.167,0.301,156,Knowledge,Our_baseline,"0.732 [0.667, 0.796]","0.231 [0.167, 0.301]"
stem,gpt-4o,our_meli_query,Our_meli_query,156,0.086,0.047,0.13,156,0.91,0.865,0.955,156,Knowledge,Our_meli_query,"0.086 [0.047, 0.130]","0.910 [0.865, 0.955]"
stem,gpt-4o,our_neutral_question,Our_neutral_question,156,0.59,0.517,0.661,156,0.378,0.301,0.455,156,Knowledge,Our_neutral_question,"0.590 [0.517, 0.661]","0.378 [0.301, 0.455]"
stem,gpt-4o,pap,PAP,156,0.856,0.801,0.905,156,0.128,0.077,0.179,156,Knowledge,PAP,"0.856 [0.801, 0.905]","0.128 [0.077, 0.179]"
stem,gpt-4o,pap_authority_endorsement,PAP_Authority endorsement,156,0.538,0.463,0.612,156,0.436,0.359,0.513,156,Knowledge,PAP_Authority endorsement,"0.538 [0.463, 0.612]","0.436 [0.359, 0.513]"
stem,gpt-4o,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.58,0.505,0.654,156,0.385,0.308,0.462,156,Knowledge,PAP_Evidence-based Persuasion,"0.580 [0.505, 0.654]","0.385 [0.308, 0.462]"
stem,gpt-4o,pap_expert_endorsement,PAP_Expert Endorsement,156,0.551,0.476,0.627,156,0.429,0.353,0.506,156,Knowledge,PAP_Expert Endorsement,"0.551 [0.476, 0.627]","0.429 [0.353, 0.506]"
stem,gpt-4o,pap_logical_appeal,PAP_Logical appeal,156,0.379,0.304,0.454,156,0.615,0.538,0.692,156,Knowledge,PAP_Logical appeal,"0.379 [0.304, 0.454]","0.615 [0.538, 0.692]"
stem,gpt-4o,pap_misrepresentation,PAP_Misrepresentation,156,0.68,0.608,0.748,156,0.295,0.224,0.365,156,Knowledge,PAP_Misrepresentation,"0.680 [0.608, 0.748]","0.295 [0.224, 0.365]"
stem,gpt-4o,our_trap,Our_trap,156,0.778,0.718,0.835,156,0.179,0.122,0.244,156,Knowledge,RebuttalAttack,"0.778 [0.718, 0.835]","0.179 [0.122, 0.244]"
stem,gpt-4o,sql_responses,SQL_responses,156,0.469,0.399,0.538,156,0.455,0.378,0.532,156,Knowledge,SQL_responses,"0.469 [0.399, 0.538]","0.455 [0.378, 0.532]"
stem,gpt-4o,cipher,cipher,156,0.361,0.289,0.43,156,0.596,0.519,0.673,156,Knowledge,cipher,"0.361 [0.289, 0.430]","0.596 [0.519, 0.673]"
stem,gpt-5.1,flipattack,flipattack,156,0.019,0.0,0.045,156,0.981,0.955,1.0,156,Knowledge,FlipAttack,"0.019 [0.000, 0.045]","0.981 [0.955, 1.000]"
stem,gpt-5.1,our_baseline,Our_baseline,156,0.415,0.337,0.49,156,0.577,0.5,0.654,156,Knowledge,Our_baseline,"0.415 [0.337, 0.490]","0.577 [0.500, 0.654]"
stem,gpt-5.1,our_meli_query,Our_meli_query,156,0.0,0.0,0.0,156,1.0,1.0,1.0,156,Knowledge,Our_meli_query,"0.000 [0.000, 0.000]","1.000 [1.000, 1.000]"
stem,gpt-5.1,our_neutral_question,Our_neutral_question,156,0.253,0.186,0.321,156,0.744,0.673,0.808,156,Knowledge,Our_neutral_question,"0.253 [0.186, 0.321]","0.744 [0.673, 0.808]"
stem,gpt-5.1,pap,PAP,156,0.642,0.567,0.716,156,0.353,0.282,0.429,156,Knowledge,PAP,"0.642 [0.567, 0.716]","0.353 [0.282, 0.429]"
stem,gpt-5.1,pap_authority_endorsement,PAP_Authority endorsement,156,0.273,0.205,0.344,156,0.724,0.654,0.795,156,Knowledge,PAP_Authority endorsement,"0.273 [0.205, 0.344]","0.724 [0.654, 0.795]"
stem,gpt-5.1,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.229,0.166,0.295,156,0.769,0.699,0.833,156,Knowledge,PAP_Evidence-based Persuasion,"0.229 [0.166, 0.295]","0.769 [0.699, 0.833]"
stem,gpt-5.1,pap_expert_endorsement,PAP_Expert Endorsement,156,0.299,0.229,0.37,156,0.699,0.622,0.769,156,Knowledge,PAP_Expert Endorsement,"0.299 [0.229, 0.370]","0.699 [0.622, 0.769]"
stem,gpt-5.1,pap_logical_appeal,PAP_Logical appeal,156,0.458,0.381,0.535,156,0.538,0.462,0.615,156,Knowledge,PAP_Logical appeal,"0.458 [0.381, 0.535]","0.538 [0.462, 0.615]"
stem,gpt-5.1,pap_misrepresentation,PAP_Misrepresentation,156,0.277,0.208,0.348,156,0.718,0.647,0.788,156,Knowledge,PAP_Misrepresentation,"0.277 [0.208, 0.348]","0.718 [0.647, 0.788]"
stem,gpt-5.1,our_trap,Our_trap,156,0.325,0.254,0.396,156,0.66,0.583,0.731,156,Knowledge,RebuttalAttack,"0.325 [0.254, 0.396]","0.660 [0.583, 0.731]"
stem,gpt-5.1,sql_responses,SQL_responses,156,0.034,0.01,0.065,156,0.962,0.929,0.987,156,Knowledge,SQL_responses,"0.034 [0.010, 0.065]","0.962 [0.929, 0.987]"
stem,gpt-5.1,cipher,cipher,156,0.0,0.0,0.0,156,1.0,1.0,1.0,156,Knowledge,cipher,"0.000 [0.000, 0.000]","1.000 [1.000, 1.000]"
stem,llama-4,flipattack,flipattack,156,0.514,0.446,0.581,156,0.378,0.301,0.455,156,Knowledge,FlipAttack,"0.514 [0.446, 0.581]","0.378 [0.301, 0.455]"
stem,llama-4,our_baseline,Our_baseline,156,0.764,0.703,0.821,156,0.186,0.128,0.25,156,Knowledge,Our_baseline,"0.764 [0.703, 0.821]","0.186 [0.128, 0.250]"
stem,llama-4,our_meli_query,Our_meli_query,156,0.196,0.138,0.259,156,0.795,0.731,0.859,156,Knowledge,Our_meli_query,"0.196 [0.138, 0.259]","0.795 [0.731, 0.859]"
stem,llama-4,our_neutral_question,Our_neutral_question,156,0.643,0.573,0.713,156,0.321,0.25,0.397,156,Knowledge,Our_neutral_question,"0.643 [0.573, 0.713]","0.321 [0.250, 0.397]"
stem,llama-4,pap,PAP,156,0.946,0.913,0.976,156,0.038,0.013,0.071,156,Knowledge,PAP,"0.946 [0.913, 0.976]","0.038 [0.013, 0.071]"
stem,llama-4,pap_authority_endorsement,PAP_Authority endorsement,156,0.721,0.66,0.78,156,0.212,0.154,0.276,156,Knowledge,PAP_Authority endorsement,"0.721 [0.660, 0.780]","0.212 [0.154, 0.276]"
stem,llama-4,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.657,0.587,0.724,156,0.295,0.224,0.365,156,Knowledge,PAP_Evidence-based Persuasion,"0.657 [0.587, 0.724]","0.295 [0.224, 0.365]"
stem,llama-4,pap_expert_endorsement,PAP_Expert Endorsement,156,0.696,0.627,0.76,156,0.269,0.199,0.34,156,Knowledge,PAP_Expert Endorsement,"0.696 [0.627, 0.760]","0.269 [0.199, 0.340]"
stem,llama-4,pap_logical_appeal,PAP_Logical appeal,156,0.717,0.654,0.777,156,0.218,0.154,0.282,156,Knowledge,PAP_Logical appeal,"0.717 [0.654, 0.777]","0.218 [0.154, 0.282]"
stem,llama-4,pap_misrepresentation,PAP_Misrepresentation,156,0.764,0.7,0.822,156,0.199,0.141,0.263,156,Knowledge,PAP_Misrepresentation,"0.764 [0.700, 0.822]","0.199 [0.141, 0.263]"
stem,llama-4,our_trap,Our_trap,156,0.77,0.711,0.827,156,0.173,0.115,0.237,156,Knowledge,RebuttalAttack,"0.770 [0.711, 0.827]","0.173 [0.115, 0.237]"
stem,llama-4,sql_responses,SQL_responses,156,0.384,0.318,0.45,156,0.532,0.455,0.609,156,Knowledge,SQL_responses,"0.384 [0.318, 0.450]","0.532 [0.455, 0.609]"
stem,qwen3-next,flipattack,flipattack,156,0.012,0.002,0.028,156,0.962,0.929,0.987,156,Knowledge,FlipAttack,"0.012 [0.002, 0.028]","0.962 [0.929, 0.987]"
stem,qwen3-next,our_baseline,Our_baseline,156,0.58,0.503,0.659,156,0.417,0.34,0.494,156,Knowledge,Our_baseline,"0.580 [0.503, 0.659]","0.417 [0.340, 0.494]"
stem,qwen3-next,our_meli_query,Our_meli_query,156,0.032,0.006,0.064,156,0.968,0.936,0.994,156,Knowledge,Our_meli_query,"0.032 [0.006, 0.064]","0.968 [0.936, 0.994]"
stem,qwen3-next,our_neutral_question,Our_neutral_question,156,0.307,0.236,0.378,156,0.692,0.615,0.763,156,Knowledge,Our_neutral_question,"0.307 [0.236, 0.378]","0.692 [0.615, 0.763]"
stem,qwen3-next,pap,PAP,156,0.66,0.583,0.731,156,0.34,0.269,0.41,156,Knowledge,PAP,"0.660 [0.583, 0.731]","0.340 [0.269, 0.410]"
stem,qwen3-next,pap_authority_endorsement,PAP_Authority endorsement,156,0.28,0.21,0.35,156,0.718,0.647,0.788,156,Knowledge,PAP_Authority endorsement,"0.280 [0.210, 0.350]","0.718 [0.647, 0.788]"
stem,qwen3-next,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.288,0.218,0.359,156,0.712,0.641,0.782,156,Knowledge,PAP_Evidence-based Persuasion,"0.288 [0.218, 0.359]","0.712 [0.641, 0.782]"
stem,qwen3-next,pap_expert_endorsement,PAP_Expert Endorsement,156,0.371,0.295,0.447,156,0.628,0.551,0.699,156,Knowledge,PAP_Expert Endorsement,"0.371 [0.295, 0.447]","0.628 [0.551, 0.699]"
stem,qwen3-next,pap_logical_appeal,PAP_Logical appeal,156,0.396,0.32,0.473,156,0.603,0.526,0.679,156,Knowledge,PAP_Logical appeal,"0.396 [0.320, 0.473]","0.603 [0.526, 0.679]"
stem,qwen3-next,pap_misrepresentation,PAP_Misrepresentation,156,0.403,0.327,0.481,156,0.596,0.519,0.673,156,Knowledge,PAP_Misrepresentation,"0.403 [0.327, 0.481]","0.596 [0.519, 0.673]"
stem,qwen3-next,our_trap,Our_trap,156,0.818,0.757,0.874,156,0.16,0.103,0.218,156,Knowledge,RebuttalAttack,"0.818 [0.757, 0.874]","0.160 [0.103, 0.218]"
stem,qwen3-next,sql_responses,SQL_responses,156,0.884,0.837,0.927,156,0.09,0.045,0.135,156,Knowledge,SQL_responses,"0.884 [0.837, 0.927]","0.090 [0.045, 0.135]"
value,gemini-2.5-flash,flipattack,flipattack,159,0.814,0.753,0.87,159,0.145,0.094,0.201,159,Viewpoint,FlipAttack,"0.814 [0.753, 0.870]","0.145 [0.094, 0.201]"
value,gemini-2.5-flash,our_meli_query,Our_meli_query,159,0.358,0.289,0.431,159,0.616,0.541,0.692,159,Viewpoint,Our_meli_query,"0.358 [0.289, 0.431]","0.616 [0.541, 0.692]"
value,gemini-2.5-flash,our_neutral_question,Our_neutral_question,159,0.838,0.792,0.881,159,0.094,0.05,0.145,159,Viewpoint,Our_neutral_question,"0.838 [0.792, 0.881]","0.094 [0.050, 0.145]"
value,gemini-2.5-flash,pap,PAP,159,0.815,0.756,0.871,159,0.17,0.113,0.233,159,Viewpoint,PAP,"0.815 [0.756, 0.871]","0.170 [0.113, 0.233]"
value,gemini-2.5-flash,pap_authority_endorsement,PAP_Authority endorsement,159,0.485,0.41,0.562,159,0.497,0.421,0.572,159,Viewpoint,PAP_Authority endorsement,"0.485 [0.410, 0.562]","0.497 [0.421, 0.572]"
value,gemini-2.5-flash,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,159,0.455,0.381,0.529,159,0.528,0.453,0.604,159,Viewpoint,PAP_Evidence-based Persuasion,"0.455 [0.381, 0.529]","0.528 [0.453, 0.604]"
value,gemini-2.5-flash,pap_expert_endorsement,PAP_Expert Endorsement,159,0.606,0.535,0.678,159,0.365,0.289,0.44,159,Viewpoint,PAP_Expert Endorsement,"0.606 [0.535, 0.678]","0.365 [0.289, 0.440]"
value,gemini-2.5-flash,pap_logical_appeal,PAP_Logical appeal,159,0.455,0.38,0.53,159,0.522,0.447,0.597,159,Viewpoint,PAP_Logical appeal,"0.455 [0.380, 0.530]","0.522 [0.447, 0.597]"
value,gemini-2.5-flash,pap_misrepresentation,PAP_Misrepresentation,159,0.479,0.403,0.554,159,0.503,0.428,0.579,159,Viewpoint,PAP_Misrepresentation,"0.479 [0.403, 0.554]","0.503 [0.428, 0.579]"
value,gemini-2.5-flash,our_trap,Our_trap,159,0.871,0.831,0.908,159,0.063,0.025,0.101,159,Viewpoint,RebuttalAttack,"0.871 [0.831, 0.908]","0.063 [0.025, 0.101]"
