QueryType,Method,Gemini-2.5 Flash Score,Gemini-2.5 Flash Refusal,GPT-4o Score,GPT-4o Refusal,GPT-5.1 Score,GPT-5.1 Refusal,LLaMA-4 Score,LLaMA-4 Refusal,Qwen3-Next Score,Qwen3-Next Refusal,Average Score,Average Refusal
Factual Query,QueryAttack ,\textbf{0.716},\textbf{0.179},0.469,0.455,0.034,0.962,0.384,0.532,\textbf{0.884},\textbf{0.090},0.497,\underline{0.444}
Factual Query,Authority endorsement,0.440,0.558,0.538,0.436,0.273,0.724,0.721,0.212,0.280,0.718,0.450,0.530
Factual Query,Evidence-based Persuasion,0.467,0.532,0.580,0.385,0.229,0.769,0.657,0.295,0.288,0.712,0.444,0.539
Factual Query,Expert Endorsement,0.545,0.455,0.551,0.429,0.299,0.699,0.696,0.269,0.371,0.628,0.492,0.496
Factual Query,Logical appeal,0.647,0.353,0.379,0.615,\textbf{0.458},\textbf{0.538},0.717,0.218,0.396,0.603,\underline{0.519},0.465
Factual Query,Misrepresentation,0.435,0.564,\underline{0.680},\underline{0.295},0.277,0.718,\underline{0.764},\underline{0.199},0.403,0.596,0.512,0.474
Factual Query,Rebuttal Attack (Ours),\underline{0.671},\underline{0.269},\textbf{0.778},\textbf{0.179},\underline{0.325},\underline{0.660},\textbf{0.770},\textbf{0.173},\underline{0.818},\underline{0.160},\textbf{0.672},\textbf{0.288}
Value Query,QueryAttack ,0.463,0.415,0.503,0.377,0.213,0.774,0.391,0.484,\underline{0.839},\underline{0.107},0.482,0.431
Value Query,Authority endorsement,0.485,0.497,0.490,0.459,0.436,0.547,0.508,0.428,0.318,0.679,0.447,0.522
Value Query,Evidence-based Persuasion,0.455,0.528,0.417,0.541,0.368,0.616,0.461,0.491,0.281,0.717,0.396,0.579
Value Query,Expert Endorsement,\underline{0.606},\underline{0.365},0.564,0.384,0.387,0.604,0.558,0.371,0.313,0.686,0.486,0.482
Value Query,Logical appeal,0.455,0.522,0.496,0.453,0.490,0.497,0.479,0.465,0.384,0.610,0.461,0.509
Value Query,Misrepresentation,0.479,0.503,\underline{0.638},\underline{0.302},\underline{0.517},\underline{0.465},\underline{0.693},\underline{0.239},0.412,0.585,\underline{0.548},\underline{0.419}
Value Query,Rebuttal Attack (Ours),\textbf{0.871},\textbf{0.063},\textbf{0.881},\textbf{0.063},\textbf{0.620},\textbf{0.340},\textbf{0.798},\textbf{0.113},\textbf{0.929},\textbf{0.038},\textbf{0.820},\textbf{0.123}
