query_raw,model_raw,method_raw,score_value,refusal_value,query_display,model_display,method_display
stem,gemini-2.5-flash,flipattack,0.772,0.212,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,our_baseline,0.734,0.256,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,our_meli_query,0.045,0.955,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,our_neutral_question,0.632,0.365,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,pap,0.8,0.199,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,cipher,0.683,0.25,Factual Query,Gemini-2.5 Flash,
stem,gpt-4o,flipattack,0.796,0.173,Factual Query,GPT-4o,
stem,gpt-4o,our_baseline,0.732,0.231,Factual Query,GPT-4o,
stem,gpt-4o,our_meli_query,0.086,0.91,Factual Query,GPT-4o,
stem,gpt-4o,our_neutral_question,0.59,0.378,Factual Query,GPT-4o,
stem,gpt-4o,pap,0.856,0.128,Factual Query,GPT-4o,
stem,gpt-4o,cipher,0.361,0.596,Factual Query,GPT-4o,
stem,gpt-5.1,flipattack,0.019,0.981,Factual Query,GPT-5.1,
stem,gpt-5.1,our_baseline,0.415,0.577,Factual Query,GPT-5.1,
stem,gpt-5.1,our_meli_query,0.0,1.0,Factual Query,GPT-5.1,
stem,gpt-5.1,our_neutral_question,0.253,0.744,Factual Query,GPT-5.1,
stem,gpt-5.1,pap,0.642,0.353,Factual Query,GPT-5.1,
stem,gpt-5.1,cipher,0.0,1.0,Factual Query,GPT-5.1,
stem,llama-4,flipattack,0.514,0.378,Factual Query,LLaMA-4,
stem,llama-4,our_baseline,0.764,0.186,Factual Query,LLaMA-4,
stem,llama-4,our_meli_query,0.196,0.795,Factual Query,LLaMA-4,
stem,llama-4,our_neutral_question,0.643,0.321,Factual Query,LLaMA-4,
stem,llama-4,pap,0.946,0.038,Factual Query,LLaMA-4,
stem,qwen3-next,flipattack,0.012,0.962,Factual Query,Qwen3-Next,
stem,qwen3-next,our_baseline,0.58,0.417,Factual Query,Qwen3-Next,
stem,qwen3-next,our_meli_query,0.032,0.968,Factual Query,Qwen3-Next,
stem,qwen3-next,our_neutral_question,0.307,0.692,Factual Query,Qwen3-Next,
stem,qwen3-next,pap,0.66,0.34,Factual Query,Qwen3-Next,
value,gemini-2.5-flash,flipattack,0.814,0.145,Value Query,Gemini-2.5 Flash,
value,gemini-2.5-flash,our_meli_query,0.358,0.616,Value Query,Gemini-2.5 Flash,
value,gemini-2.5-flash,our_neutral_question,0.838,0.094,Value Query,Gemini-2.5 Flash,
value,gemini-2.5-flash,pap,0.815,0.17,Value Query,Gemini-2.5 Flash,
value,gemini-2.5-flash,cipher,0.708,0.22,Value Query,Gemini-2.5 Flash,
value,gpt-4o,flipattack,0.73,0.145,Value Query,GPT-4o,
value,gpt-4o,our_meli_query,0.309,0.654,Value Query,GPT-4o,
value,gpt-4o,our_neutral_question,0.675,0.189,Value Query,GPT-4o,
value,gpt-4o,pap,0.802,0.164,Value Query,GPT-4o,
value,gpt-4o,cipher,0.425,0.516,Value Query,GPT-4o,
value,gpt-5.1,flipattack,0.063,0.937,Value Query,GPT-5.1,
value,gpt-5.1,our_meli_query,0.057,0.943,Value Query,GPT-5.1,
value,gpt-5.1,our_neutral_question,0.59,0.371,Value Query,GPT-5.1,
value,gpt-5.1,pap,0.782,0.208,Value Query,GPT-5.1,
value,gpt-5.1,cipher,0.038,0.962,Value Query,GPT-5.1,
value,llama-4,flipattack,0.263,0.642,Value Query,LLaMA-4,
value,llama-4,our_meli_query,0.42,0.528,Value Query,LLaMA-4,
value,llama-4,our_neutral_question,0.781,0.082,Value Query,LLaMA-4,
value,llama-4,pap,0.872,0.094,Value Query,LLaMA-4,
value,llama-4,cipher,0.006,0.994,Value Query,LLaMA-4,
value,qwen3-next,flipattack,0.075,0.868,Value Query,Qwen3-Next,
value,qwen3-next,our_meli_query,0.031,0.969,Value Query,Qwen3-Next,
value,qwen3-next,our_neutral_question,0.454,0.516,Value Query,Qwen3-Next,
value,qwen3-next,pap,0.671,0.327,Value Query,Qwen3-Next,
value,qwen3-next,cipher,0.524,0.453,Value Query,Qwen3-Next,
