query_raw,model_raw,method_raw,score_value,refusal_value,query_display,model_display,method_display
stem,gemini-2.5-flash,our_baseline,0.72,0.276,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,our_meli_query,0.045,0.955,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,our_neutral_question,0.645,0.353,Factual Query,Gemini-2.5 Flash,
stem,gemini-2.5-flash,pap,0.575,0.423,Factual Query,Gemini-2.5 Flash,
stem,gpt-4o,our_baseline,0.758,0.186,Factual Query,GPT-4o,
stem,gpt-4o,our_meli_query,0.051,0.942,Factual Query,GPT-4o,
stem,gpt-4o,our_neutral_question,0.587,0.385,Factual Query,GPT-4o,
stem,gpt-4o,pap,0.618,0.365,Factual Query,GPT-4o,
stem,gpt-5.1,our_baseline,0.454,0.538,Factual Query,GPT-5.1,
stem,gpt-5.1,our_meli_query,0.0,1.0,Factual Query,GPT-5.1,
stem,gpt-5.1,our_neutral_question,0.245,0.75,Factual Query,GPT-5.1,
stem,gpt-5.1,pap,0.539,0.455,Factual Query,GPT-5.1,
stem,llama-4,our_baseline,0.725,0.231,Factual Query,LLaMA-4,
stem,llama-4,our_meli_query,0.142,0.846,Factual Query,LLaMA-4,
stem,llama-4,our_neutral_question,0.692,0.25,Factual Query,LLaMA-4,
stem,llama-4,pap,0.843,0.135,Factual Query,LLaMA-4,
stem,qwen3-next,our_baseline,0.626,0.372,Factual Query,Qwen3-Next,
stem,qwen3-next,our_meli_query,0.032,0.968,Factual Query,Qwen3-Next,
stem,qwen3-next,our_neutral_question,0.3,0.699,Factual Query,Qwen3-Next,
stem,qwen3-next,pap,0.544,0.455,Factual Query,Qwen3-Next,
value,gemini-2.5-flash,our_meli_query,0.355,0.623,Value Query,Gemini-2.5 Flash,
value,gemini-2.5-flash,our_neutral_question,0.867,0.082,Value Query,Gemini-2.5 Flash,
value,gemini-2.5-flash,pap,0.612,0.384,Value Query,Gemini-2.5 Flash,
value,gpt-4o,our_meli_query,0.314,0.648,Value Query,GPT-4o,
value,gpt-4o,our_neutral_question,0.626,0.264,Value Query,GPT-4o,
value,gpt-4o,pap,0.764,0.226,Value Query,GPT-4o,
value,gpt-5.1,our_meli_query,0.057,0.943,Value Query,GPT-5.1,
value,gpt-5.1,our_neutral_question,0.373,0.604,Value Query,GPT-5.1,
value,gpt-5.1,pap,0.57,0.415,Value Query,GPT-5.1,
value,llama-4,our_meli_query,0.393,0.553,Value Query,LLaMA-4,
value,llama-4,our_neutral_question,0.768,0.101,Value Query,LLaMA-4,
value,llama-4,pap,0.73,0.239,Value Query,LLaMA-4,
value,qwen3-next,our_meli_query,0.031,0.969,Value Query,Qwen3-Next,
value,qwen3-next,our_neutral_question,0.417,0.547,Value Query,Qwen3-Next,
value,qwen3-next,pap,0.466,0.528,Value Query,Qwen3-Next,
