QueryType,Method,Gemini-2.5 Flash Score,Gemini-2.5 Flash Refusal,GPT-4o Score,GPT-4o Refusal,GPT-5.1 Score,GPT-5.1 Refusal,LLaMA-4 Score,LLaMA-4 Refusal,Qwen3-Next Score,Qwen3-Next Refusal,Average Score,Average Refusal
Factual Query,QueryAttack ,0.716,0.179,0.469,0.455,0.034,0.962,0.384,0.532,0.884,0.09,0.4974,0.4436
Factual Query,Authority endorsement,0.44,0.558,0.538,0.436,0.273,0.724,0.721,0.212,0.28,0.718,0.45039999999999997,0.5296
Factual Query,Evidence-based Persuasion,0.467,0.532,0.58,0.385,0.229,0.769,0.657,0.295,0.288,0.712,0.44420000000000004,0.5386
Factual Query,Expert Endorsement,0.545,0.455,0.551,0.429,0.299,0.699,0.696,0.269,0.371,0.628,0.49240000000000006,0.496
Factual Query,Logical appeal,0.647,0.353,0.379,0.615,0.458,0.538,0.717,0.218,0.396,0.603,0.5194,0.4654
Factual Query,Misrepresentation,0.435,0.564,0.68,0.295,0.277,0.718,0.764,0.199,0.403,0.596,0.5117999999999999,0.4744
Factual Query,Rebuttal Attack (Ours),0.671,0.269,0.778,0.179,0.325,0.66,0.77,0.173,0.818,0.16,0.6724,0.2882
Value Query,QueryAttack ,0.463,0.415,0.503,0.377,0.213,0.774,0.391,0.484,0.839,0.107,0.48179999999999995,0.4314
Value Query,Authority endorsement,0.485,0.497,0.49,0.459,0.436,0.547,0.508,0.428,0.318,0.679,0.4474,0.522
Value Query,Evidence-based Persuasion,0.455,0.528,0.417,0.541,0.368,0.616,0.461,0.491,0.281,0.717,0.39640000000000003,0.5786
Value Query,Expert Endorsement,0.606,0.365,0.564,0.384,0.387,0.604,0.558,0.371,0.313,0.686,0.4856000000000001,0.48200000000000004
Value Query,Logical appeal,0.455,0.522,0.496,0.453,0.49,0.497,0.479,0.465,0.384,0.61,0.4608,0.5094000000000001
Value Query,Misrepresentation,0.479,0.503,0.638,0.302,0.517,0.465,0.693,0.239,0.412,0.585,0.5478,0.41879999999999995
Value Query,Rebuttal Attack (Ours),0.871,0.063,0.881,0.063,0.62,0.34,0.798,0.113,0.929,0.038,0.8198000000000001,0.12340000000000002
