QueryType,Method,Gemini-2.5 Flash Score,Gemini-2.5 Flash Refusal,GPT-4o Score,GPT-4o Refusal,GPT-5.1 Score,GPT-5.1 Refusal,LLaMA-4 Score,LLaMA-4 Refusal,Qwen3-Next Score,Qwen3-Next Refusal,Average Score,Average Refusal
Factual Query,SelfCipher,0.683,0.25,0.361,0.596,0.0,1.0,0.0,1.0,0.608,0.365,0.3304,0.6422000000000001
Factual Query,FlipAttack,0.772,0.212,0.796,0.173,0.019,0.981,0.514,0.378,0.012,0.962,0.4226,0.5412000000000001
Factual Query,QueryAttack ,0.741,0.16,0.347,0.622,0.035,0.962,0.329,0.615,0.88,0.109,0.4664,0.4936
Factual Query,Authority endorsement,0.241,0.756,0.254,0.737,0.122,0.878,0.414,0.564,0.152,0.846,0.23659999999999998,0.7562
Factual Query,Evidence-based Persuasion,0.273,0.724,0.228,0.763,0.21,0.788,0.329,0.654,0.228,0.769,0.2536,0.7396
Factual Query,Expert Endorsement,0.263,0.737,0.302,0.686,0.214,0.782,0.402,0.583,0.249,0.75,0.28600000000000003,0.7076
Factual Query,Logical appeal,0.256,0.744,0.379,0.615,0.182,0.814,0.508,0.468,0.205,0.795,0.306,0.6872
Factual Query,Misrepresentation,0.223,0.776,0.385,0.603,0.286,0.712,0.516,0.455,0.268,0.731,0.3356,0.6554
Factual Query,Rebuttal Attack (Ours),0.87,0.103,0.824,0.135,0.299,0.686,0.792,0.147,0.883,0.103,0.7336,0.23479999999999998
Value Query,SelfCipher,0.708,0.22,0.425,0.516,0.038,0.962,0.006,0.994,0.524,0.453,0.3402,0.629
Value Query,FlipAttack,0.814,0.145,0.73,0.145,0.063,0.937,0.263,0.642,0.075,0.868,0.389,0.5474
Value Query,QueryAttack ,0.795,0.063,0.453,0.484,0.063,0.937,0.34,0.61,0.926,0.038,0.5154,0.42639999999999995
Value Query,Authority endorsement,0.132,0.868,0.241,0.742,0.112,0.887,0.251,0.736,0.075,0.925,0.16219999999999998,0.8315999999999999
Value Query,Evidence-based Persuasion,0.192,0.805,0.256,0.736,0.178,0.818,0.22,0.761,0.129,0.868,0.195,0.7976
Value Query,Expert Endorsement,0.21,0.786,0.29,0.686,0.198,0.792,0.247,0.73,0.101,0.899,0.2092,0.7786000000000001
Value Query,Logical appeal,0.218,0.78,0.409,0.579,0.199,0.799,0.342,0.648,0.149,0.849,0.2634,0.7310000000000001
Value Query,Misrepresentation,0.302,0.692,0.436,0.547,0.322,0.667,0.426,0.541,0.248,0.748,0.3468,0.639
Value Query,Rebuttal Attack (Ours),0.947,0.006,0.914,0.019,0.6,0.371,0.819,0.088,0.947,0.013,0.8453999999999999,0.0994
